Day,ActualDeficit_kWh,PredictedDeficit_kWh,NightChargeFlag,IsTestSet,EVScenario
130,0.0,0.0,False,False,EV-S2 valley delay
131,0.0,0.0,False,False,EV-S2 valley delay
132,0.0,0.0,False,False,EV-S2 valley delay
133,0.0,0.0,False,False,EV-S2 valley delay
134,0.0,0.0,False,False,EV-S2 valley delay
135,0.0,0.0,False,False,EV-S2 valley delay
136,0.0,0.0,False,False,EV-S2 valley delay
137,0.0,0.0,False,False,EV-S2 valley delay
138,0.0,0.0,False,False,EV-S2 valley delay
139,0.0,0.0,False,False,EV-S2 valley delay
140,0.0,0.0,False,False,EV-S2 valley delay
141,0.0,0.0,False,False,EV-S2 valley delay
142,0.0,0.0,False,False,EV-S2 valley delay
143,0.0,0.0,False,False,EV-S2 valley delay
144,0.0,0.0,False,False,EV-S2 valley delay
145,0.0,0.0,False,False,EV-S2 valley delay
146,0.0,0.0,False,False,EV-S2 valley delay
147,0.0,0.0,False,False,EV-S2 valley delay
148,0.0,0.0,False,False,EV-S2 valley delay
149,0.0,0.0,False,False,EV-S2 valley delay
150,0.0,0.0,False,False,EV-S2 valley delay
151,0.0,0.0,False,False,EV-S2 valley delay
152,0.0,0.0,False,False,EV-S2 valley delay
153,0.0,0.0,False,False,EV-S2 valley delay
154,0.0,0.0,False,False,EV-S2 valley delay
155,0.0,0.0,False,False,EV-S2 valley delay
156,0.0,0.0,False,False,EV-S2 valley delay
157,0.0,0.0,False,False,EV-S2 valley delay
158,0.0,0.0,False,False,EV-S2 valley delay
159,0.0,0.0,False,False,EV-S2 valley delay
160,0.0,0.0,False,False,EV-S2 valley delay
161,0.0,0.0,False,False,EV-S2 valley delay
162,0.0,0.0,False,False,EV-S2 valley delay
163,0.0,0.0,False,False,EV-S2 valley delay
164,0.0,0.0,False,False,EV-S2 valley delay
165,0.0,0.0,False,False,EV-S2 valley delay
166,0.0,0.0,False,False,EV-S2 valley delay
167,0.0,0.0,False,False,EV-S2 valley delay
168,0.0,0.0,False,False,EV-S2 valley delay
169,0.0,0.0,False,False,EV-S2 valley delay
170,0.0,0.0,False,False,EV-S2 valley delay
171,0.0,0.0,False,False,EV-S2 valley delay
172,0.0,0.0,False,False,EV-S2 valley delay
173,0.0,0.0,False,False,EV-S2 valley delay
174,0.0,0.0,False,False,EV-S2 valley delay
175,0.0,0.0,False,False,EV-S2 valley delay
176,0.0,0.0,False,False,EV-S2 valley delay
177,0.0,0.0,False,False,EV-S2 valley delay
178,0.0,0.0,False,False,EV-S2 valley delay
179,0.0,0.0,False,False,EV-S2 valley delay
180,0.0,0.0,False,False,EV-S2 valley delay
181,0.0,0.0,False,False,EV-S2 valley delay
182,0.0,0.0,False,False,EV-S2 valley delay
183,0.0,0.0,False,False,EV-S2 valley delay
184,0.0,0.0,False,False,EV-S2 valley delay
185,0.0,0.0,False,False,EV-S2 valley delay
186,0.0,0.0,False,False,EV-S2 valley delay
187,0.0,0.0,False,False,EV-S2 valley delay
188,0.0,0.0,False,False,EV-S2 valley delay
189,0.0,0.0,False,False,EV-S2 valley delay
190,0.0,0.0,False,False,EV-S2 valley delay
191,0.0,0.0,False,False,EV-S2 valley delay
192,0.0,0.0,False,False,EV-S2 valley delay
193,0.0,0.0,False,False,EV-S2 valley delay
194,0.0,0.0,False,False,EV-S2 valley delay
195,0.0,0.0,False,False,EV-S2 valley delay
196,0.0,0.0,False,False,EV-S2 valley delay
197,0.0,0.0,False,False,EV-S2 valley delay
198,0.0,0.0,False,False,EV-S2 valley delay
199,0.0,0.0,False,False,EV-S2 valley delay
200,0.0,0.0,False,False,EV-S2 valley delay
201,0.0,0.0,False,False,EV-S2 valley delay
202,0.0,0.0,False,False,EV-S2 valley delay
203,0.0,0.0,False,False,EV-S2 valley delay
204,0.0,0.0,False,False,EV-S2 valley delay
205,0.0,0.0,False,False,EV-S2 valley delay
206,0.0,0.0,False,False,EV-S2 valley delay
207,0.0,0.0,False,False,EV-S2 valley delay
208,0.0,0.0,False,False,EV-S2 valley delay
209,0.0,0.0,False,False,EV-S2 valley delay
210,0.0,0.0,False,False,EV-S2 valley delay
211,0.0,0.0,False,False,EV-S2 valley delay
212,0.0,0.0,False,False,EV-S2 valley delay
213,0.0,0.0,False,False,EV-S2 valley delay
214,0.0,0.0,False,False,EV-S2 valley delay
215,0.0,0.0,False,False,EV-S2 valley delay
216,0.0,0.0,False,False,EV-S2 valley delay
217,0.0,0.0,False,False,EV-S2 valley delay
218,0.0,0.0,False,False,EV-S2 valley delay
219,0.0,0.0,False,False,EV-S2 valley delay
220,0.0,0.0,False,False,EV-S2 valley delay
221,0.0,0.0,False,False,EV-S2 valley delay
222,0.0,0.0,False,False,EV-S2 valley delay
223,0.0,0.0,False,False,EV-S2 valley delay
224,0.0,0.0,False,False,EV-S2 valley delay
225,0.0,0.0,False,False,EV-S2 valley delay
226,0.0,0.0,False,False,EV-S2 valley delay
227,0.0,0.0,False,False,EV-S2 valley delay
228,0.0,0.0,False,False,EV-S2 valley delay
229,0.0,0.0,False,False,EV-S2 valley delay
230,0.0,0.0,False,False,EV-S2 valley delay
231,0.0,0.0,False,False,EV-S2 valley delay
232,0.0,0.0,False,False,EV-S2 valley delay
233,0.0,0.0,False,False,EV-S2 valley delay
234,0.0,0.0,False,False,EV-S2 valley delay
235,0.0,0.0,False,False,EV-S2 valley delay
236,0.0,0.0,False,False,EV-S2 valley delay
237,0.0,0.0,False,False,EV-S2 valley delay
238,0.0,0.0,False,False,EV-S2 valley delay
239,0.0,0.0,False,False,EV-S2 valley delay
240,0.0,0.0,False,False,EV-S2 valley delay
241,0.0,0.0,False,False,EV-S2 valley delay
242,0.0,0.0,False,False,EV-S2 valley delay
243,0.0,0.0,False,False,EV-S2 valley delay
244,0.0,0.0,False,False,EV-S2 valley delay
245,0.0,0.0,False,False,EV-S2 valley delay
246,0.0,0.0,False,False,EV-S2 valley delay
247,0.0,0.0,False,False,EV-S2 valley delay
248,0.0,0.0,False,False,EV-S2 valley delay
249,0.0,0.0,False,False,EV-S2 valley delay
250,0.0,0.0,False,False,EV-S2 valley delay
251,0.0,0.0,False,False,EV-S2 valley delay
252,0.0,0.0,False,False,EV-S2 valley delay
253,0.0,0.0,False,False,EV-S2 valley delay
254,0.0,0.0,False,False,EV-S2 valley delay
255,0.0,0.0,False,False,EV-S2 valley delay
256,0.0,0.0,False,False,EV-S2 valley delay
257,0.0,0.0,False,True,EV-S2 valley delay
258,0.0,0.0,False,True,EV-S2 valley delay
259,0.0,0.0,False,True,EV-S2 valley delay
260,0.0,0.0,False,True,EV-S2 valley delay
261,0.0,0.0,False,True,EV-S2 valley delay
262,0.0,0.0,False,True,EV-S2 valley delay
263,0.0,0.0,False,True,EV-S2 valley delay
264,0.0,0.0,False,True,EV-S2 valley delay
265,0.0,0.0,False,True,EV-S2 valley delay
266,0.0,0.0,False,True,EV-S2 valley delay
267,0.0,0.0,False,True,EV-S2 valley delay
268,0.0,0.0,False,True,EV-S2 valley delay
269,0.0,0.0,False,True,EV-S2 valley delay
270,0.0,0.0,False,True,EV-S2 valley delay
271,0.0,0.0,False,True,EV-S2 valley delay
272,0.0,0.0,False,True,EV-S2 valley delay
273,0.0,0.0,False,True,EV-S2 valley delay
274,0.0,0.0,False,True,EV-S2 valley delay
275,0.0,0.0,False,True,EV-S2 valley delay
276,0.0,0.0,False,True,EV-S2 valley delay
277,0.0,0.0,False,True,EV-S2 valley delay
278,0.0,0.0,False,True,EV-S2 valley delay
279,0.0,0.0,False,True,EV-S2 valley delay
280,0.0,0.0,False,True,EV-S2 valley delay
281,0.0,0.0,False,True,EV-S2 valley delay
282,0.0,0.0,False,True,EV-S2 valley delay
283,0.0,0.0,False,True,EV-S2 valley delay
284,0.0,0.0,False,True,EV-S2 valley delay
285,0.0,0.0,False,True,EV-S2 valley delay
286,0.0,0.0,False,True,EV-S2 valley delay
287,0.0,0.0,False,True,EV-S2 valley delay
288,0.0,0.0,False,True,EV-S2 valley delay
289,0.0,0.0,False,True,EV-S2 valley delay
290,0.0,0.0,False,True,EV-S2 valley delay
291,0.0,0.0,False,True,EV-S2 valley delay
292,0.0,0.0,False,True,EV-S2 valley delay
293,0.0,0.0,False,True,EV-S2 valley delay
294,0.0,0.0,False,True,EV-S2 valley delay
295,0.0,0.0,False,True,EV-S2 valley delay
296,0.0,0.0,False,True,EV-S2 valley delay
297,0.0,0.0,False,True,EV-S2 valley delay
298,0.0,0.0,False,True,EV-S2 valley delay
299,0.0,0.0,False,True,EV-S2 valley delay
300,0.0,0.0,False,True,EV-S2 valley delay
301,0.0,0.0,False,True,EV-S2 valley delay
302,0.0,0.0,False,True,EV-S2 valley delay
303,0.0,0.0,False,True,EV-S2 valley delay
304,0.0,0.0,False,True,EV-S2 valley delay
305,0.0,0.0,False,True,EV-S2 valley delay
306,0.0,0.0,False,True,EV-S2 valley delay
307,0.0,0.0,False,True,EV-S2 valley delay
308,0.0,0.0,False,True,EV-S2 valley delay
309,0.0,0.0,False,True,EV-S2 valley delay
310,0.0,0.0,False,True,EV-S2 valley delay
