Plan,Cap_kWh,Pow_kW,Cost_Yuan,SelfUseRate,Peak_kW,Cycles,Inv_Yuan,Payback_Yrs
Economic,5,2,-3518.82397577358,0.18177281548923,11.8526067707856,221.813944656713,9100,Inf
Balanced,5,2,-3518.82397577358,0.18177281548923,11.8526067707856,221.813944656713,9100,Inf
Robust,5,2,-3518.82397577358,0.18177281548923,11.8526067707856,221.813944656713,9100,Inf
