Plan,Cap_kWh,Pow_kW,Cost_Yuan,SelfUseRate,Peak_kW,Cycles,Inv_Yuan,Payback_Yrs
Economic,5,2,-4142.03275830315,0.18288260384649,8.80565265473217,222.694093257462,9100,Inf
Balanced,5,2,-4142.03275830315,0.18288260384649,8.80565265473217,222.694093257462,9100,Inf
Robust,5,2,-4142.03275830315,0.18288260384649,8.80565265473217,222.694093257462,9100,Inf
