Plan,Cap_kWh,Pow_kW,Cost_Yuan,SelfUseRate,Peak_kW,Cycles,Inv_Yuan,Payback_Yrs
Economic,5,2,-4149.10126933222,0.18177281548923,8.80565265473217,221.813944656714,9100,Inf
Balanced,5,2,-4149.10126933222,0.18177281548923,8.80565265473217,221.813944656714,9100,Inf
Robust,5,2,-4149.10126933222,0.18177281548923,8.80565265473217,221.813944656714,9100,Inf
